cnt,rolling_mean_5,rolling_mean_6,rolling_mean_7,rolling_mean_8,rolling_mean_9,rolling_mean_10,rolling_std_5,rolling_std_6,rolling_std_7,rolling_std_8,rolling_std_9,rolling_std_10,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_diff_1,lag_diff_2,lag_diff_3,lag_diff_4,lag_diff_5,lag_diff_6,lag_diff_7,lag_diff_8,lag_diff_9,lag_diff_10,day_of_week,month,Y
60,77.6,75.16666666666667,73.0,70.25,68.66666666666667,66.5,24.068651811017585,22.337561788759903,21.18175315375634,21.096716061307472,20.297783130184442,20.326501584548843,44.0,93.0,95.0,96.0,63.0,60.0,51.0,56.0,47.0,85.0,16.0,-33.0,-35.0,-36.0,-3.0,0.0,9.0,4.0,13.0,-25.0,2,2,44.0
52,68.8,73.33333333333333,71.85714285714286,70.375,68.22222222222223,67.0,23.700210969525145,23.930454794396756,22.191804579082575,20.96893961485484,20.65053133564472,19.849433241279208,60.0,44.0,93.0,95.0,96.0,63.0,60.0,51.0,56.0,47.0,-8.0,8.0,-41.0,-43.0,-44.0,-11.0,-8.0,1.0,-4.0,5.0,3,2,60.0
91,68.0,72.5,75.85714285714286,74.25,72.66666666666667,70.5,22.638462845343543,23.054283766797003,22.84315047907192,21.631656696346017,20.784609690826528,20.75920144043225,52.0,60.0,44.0,93.0,95.0,96.0,63.0,60.0,51.0,56.0,39.0,31.0,47.0,-2.0,-4.0,-5.0,28.0,31.0,40.0,35.0,4,2,52.0
133,76.0,78.83333333333333,81.14285714285714,83.0,80.77777777777777,78.7,36.50342449688796,33.37913519950249,31.077476149287346,29.247710533109622,28.159269245568936,27.349791792829265,91.0,52.0,60.0,44.0,93.0,95.0,96.0,63.0,60.0,51.0,42.0,81.0,73.0,89.0,40.0,38.0,37.0,70.0,73.0,82.0,5,2,91.0
108,88.8,81.33333333333333,83.0,84.5,85.77777777777777,83.5,33.58124476549373,35.166271719741154,32.4037034920393,30.298514815086232,28.599728048435086,27.90957621398871,133.0,91.0,52.0,60.0,44.0,93.0,95.0,96.0,63.0,60.0,-25.0,17.0,56.0,48.0,64.0,15.0,13.0,12.0,45.0,48.0,6,2,133.0
50,86.8,82.33333333333333,76.85714285714286,78.875,80.66666666666667,82.2,35.94022815731698,33.95683534528308,34.217094029293655,32.1888956008124,30.58594448435425,29.241522988152763,108.0,133.0,91.0,52.0,60.0,44.0,93.0,95.0,96.0,63.0,-58.0,-83.0,-41.0,-2.0,-10.0,6.0,-43.0,-45.0,-46.0,-13.0,0,2,108.0
98,96.0,88.66666666666667,84.57142857142857,79.5,81.0,82.4,30.240701050074883,32.469472842451054,31.55871323346979,32.5488643646529,30.777426793024787,29.35302369433173,50.0,108.0,133.0,91.0,52.0,60.0,44.0,93.0,95.0,96.0,48.0,-10.0,-35.0,7.0,46.0,38.0,54.0,5.0,3.0,2.0,1,2,50.0
59,89.6,89.83333333333333,84.42857142857143,81.375,77.22222222222223,78.8,34.63091104779082,30.980101140355668,31.690467246251114,30.584484862193026,31.20407736890236,29.83957104249322,98.0,50.0,108.0,133.0,91.0,52.0,60.0,44.0,93.0,95.0,-39.0,9.0,-49.0,-74.0,-32.0,7.0,-1.0,15.0,-34.0,-36.0,2,2,98.0
56,74.2,84.0,85.0,80.875,78.55555555555556,75.1,26.72452057568105,33.876245364561875,31.03761159195942,31.013533912056616,29.833333333333336,30.17522898744008,59.0,98.0,50.0,108.0,133.0,91.0,52.0,60.0,44.0,93.0,-3.0,-42.0,6.0,-52.0,-77.0,-35.0,4.0,-4.0,12.0,-37.0,3,2,59.0
86,69.8,76.16666666666667,84.28571428571429,85.125,81.44444444444444,79.3,20.957099035887577,24.383737750120805,30.93387725301764,28.737419607791608,29.060760103235047,28.22548100170797,56.0,59.0,98.0,50.0,108.0,133.0,91.0,52.0,60.0,44.0,30.0,27.0,-12.0,36.0,-22.0,-47.0,-5.0,34.0,26.0,42.0,4,2,56.0
