item_id,store_id,date_id,cnt,item_id_without_store,date,wm_yr_wk,weekday,wday,month,year,event_name_1,event_type_1,event_name_2,event_type_2,CASHBACK_STORE_1,CASHBACK_STORE_2,CASHBACK_STORE_3
STORE_1_064,STORE_1,1,0,064,2011-01-29,11101,Saturday,1,1,2011,,,,,0,0,0
STORE_1_064,STORE_1,2,1,064,2011-01-30,11101,Sunday,2,1,2011,,,,,0,0,0
STORE_1_064,STORE_1,3,0,064,2011-01-31,11101,Monday,3,1,2011,,,,,0,0,0
STORE_1_064,STORE_1,4,0,064,2011-02-01,11101,Tuesday,4,2,2011,,,,,0,1,1
STORE_1_064,STORE_1,5,0,064,2011-02-02,11101,Wednesday,5,2,2011,,,,,1,1,0
STORE_1_064,STORE_1,6,0,064,2011-02-03,11101,Thursday,6,2,2011,,,,,1,1,1
STORE_1_064,STORE_1,7,2,064,2011-02-04,11101,Friday,7,2,2011,,,,,0,1,0
STORE_1_064,STORE_1,8,0,064,2011-02-05,11102,Saturday,1,2,2011,,,,,1,1,1
STORE_1_064,STORE_1,9,1,064,2011-02-06,11102,Sunday,2,2,2011,SuperBowl,Sporting,,,1,1,1
STORE_1_064,STORE_1,10,0,064,2011-02-07,11102,Monday,3,2,2011,,,,,0,1,1
STORE_1_064,STORE_1,11,0,064,2011-02-08,11102,Tuesday,4,2,2011,,,,,1,1,0
STORE_1_064,STORE_1,12,2,064,2011-02-09,11102,Wednesday,5,2,2011,,,,,1,1,1
STORE_1_064,STORE_1,13,0,064,2011-02-10,11102,Thursday,6,2,2011,,,,,0,1,0
STORE_1_064,STORE_1,14,0,064,2011-02-11,11102,Friday,7,2,2011,,,,,1,0,1
STORE_1_064,STORE_1,15,3,064,2011-02-12,11103,Saturday,1,2,2011,,,,,1,0,1
STORE_1_064,STORE_1,16,2,064,2011-02-13,11103,Sunday,2,2,2011,,,,,0,0,1
STORE_1_064,STORE_1,17,1,064,2011-02-14,11103,Monday,3,2,2011,ValentinesDay,Cultural,,,1,0,0
STORE_1_064,STORE_1,18,0,064,2011-02-15,11103,Tuesday,4,2,2011,,,,,1,0,1
STORE_1_064,STORE_1,19,0,064,2011-02-16,11103,Wednesday,5,2,2011,,,,,0,0,0
STORE_1_064,STORE_1,20,0,064,2011-02-17,11103,Thursday,6,2,2011,,,,,0,0,0
STORE_1_064,STORE_1,21,1,064,2011-02-18,11103,Friday,7,2,2011,,,,,0,0,0
STORE_1_064,STORE_1,22,3,064,2011-02-19,11104,Saturday,1,2,2011,,,,,0,0,0
STORE_1_064,STORE_1,23,1,064,2011-02-20,11104,Sunday,2,2,2011,,,,,0,0,0
STORE_1_064,STORE_1,24,0,064,2011-02-21,11104,Monday,3,2,2011,PresidentsDay,National,,,0,0,0
STORE_1_064,STORE_1,25,1,064,2011-02-22,11104,Tuesday,4,2,2011,,,,,0,0,0
STORE_1_064,STORE_1,26,0,064,2011-02-23,11104,Wednesday,5,2,2011,,,,,0,0,0
STORE_1_064,STORE_1,27,0,064,2011-02-24,11104,Thursday,6,2,2011,,,,,0,0,0
STORE_1_064,STORE_1,28,0,064,2011-02-25,11104,Friday,7,2,2011,,,,,0,0,0
STORE_1_064,STORE_1,29,1,064,2011-02-26,11105,Saturday,1,2,2011,,,,,0,0,0
STORE_1_064,STORE_1,30,0,064,2011-02-27,11105,Sunday,2,2,2011,,,,,0,0,0
STORE_1_064,STORE_1,31,0,064,2011-02-28,11105,Monday,3,2,2011,,,,,0,0,0
STORE_1_064,STORE_1,32,0,064,2011-03-01,11105,Tuesday,4,3,2011,,,,,0,1,1
STORE_1_064,STORE_1,33,0,064,2011-03-02,11105,Wednesday,5,3,2011,,,,,1,1,0
STORE_1_064,STORE_1,34,2,064,2011-03-03,11105,Thursday,6,3,2011,,,,,1,1,1
STORE_1_064,STORE_1,35,0,064,2011-03-04,11105,Friday,7,3,2011,,,,,0,1,0
STORE_1_064,STORE_1,36,2,064,2011-03-05,11106,Saturday,1,3,2011,,,,,1,1,1
STORE_1_064,STORE_1,37,2,064,2011-03-06,11106,Sunday,2,3,2011,,,,,1,1,1
